Question (AR),Question (EN),Answer (AR),Answer (EN),Category (AR),Subcategory (AR),Category (EN),Subcategory (EN)
أي نبي رُزق بابن في سن متأخرة؟,Which prophet was given a son at old age after prayer?,زكريا عليه السلام,Zachariah (Zakariya),☪️ دين,إسلامية / مسيحية / يهودية,☪️ Religion,Islam / Christianity / Judaism 
كم عدد الغورو المعترف بهم في السيخية؟,How many Sikh Gurus are recognized?,10,10,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
ما أعلى طبقة تقليدية في الهندوسية؟,What is the highest traditional Hindu caste?,البراهمة,Brahmin,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
أي ديانة تستخدم رمز عجلة الدارما؟,Which religion uses the Dharma Wheel symbol?,البوذية,Buddhism,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
ما الحيوان المقدس لدى العديد من الهندوس؟,What animal is sacred to many Hindus?,البقرة,Cow,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
ما المهرجان الهندوسي المعروف بعيد الأنوار؟,What Hindu festival is known as the Festival of Lights?,ديوالي,Diwali,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
أي إله هندوسي له رأس فيل؟,Which Hindu deity has an elephant head?,غانيشا,Ganesha,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
ما النهر المقدس المرتبط بالهندوسية؟,What sacred river is associated with Hinduism?,نهر الغانج,Ganges River,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
أي ديانة تشتهر بالإيمان بالكارما وتناسخ الأرواح؟,Which religion emphasizes karma and reincarnation?,الهندوسية,Hinduism,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
ما اسم التحرر من دورة الولادة والموت في البوذية؟,What is liberation from rebirth called in Buddhism?,النيرفانا,Nirvana,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
ما اللغة المقدسة للنصوص الهندوسية؟,What is the sacred language of Hindu scriptures?,السنسكريتية,Sanskrit,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
ما اسم بوذا قبل التنوير؟,What was Buddha's name before enlightenment?,سيدهارتا غوتاما,Siddhartha Gautama,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
من يُعتبر مؤسس الديانة البوذية؟,Who is considered the founder of Buddhism?,سيدهارتا غوتاما (بوذا),Siddhartha Gautama (Buddha),☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
أي ديانة تتبع تعاليم غورو ناناك؟,Which religion follows the teachings of Guru Nanak?,السيخية,Sikhism,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
ما اسم النصوص المقدسة البوذية؟,What are the Buddhist scriptures called?,التريبيتاكا,Tripitaka,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
ما اسم القانون الرهباني البوذي؟,What is the Buddhist monastic code called?,الفينايا,Vinaya,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
أي إله هندوسي يُعرف بالحافظ؟,Which Hindu god is known as the Preserver?,فيشنو,Vishnu,☪️ دين,ديانات أخرى,☪️ Religion,Other Religions
ما اسم حفل بلوغ الفتى في اليهودية؟,What is a Jewish boy's coming-of-age ceremony called?,بار ميتزفا,Bar Mitzvah,☪️ دين,اليهودية,☪️ Religion,Judaism
ما المقابل الأنثوي لبار ميتزفا؟,What is the female equivalent of a Bar Mitzvah?,بات ميتزفا,Bat Mitzvah,☪️ دين,اليهودية,☪️ Religion,Judaism
ما اسم عيد الأنوار اليهودي؟,What is the Jewish Festival of Lights called?,حانوكا,Hanukkah,☪️ دين,اليهودية,☪️ Religion,Judaism
ما أقدس مدينة في اليهودية؟,What is the holiest city in Judaism?,القدس,Jerusalem,☪️ دين,اليهودية,☪️ Religion,Judaism
ما اسم صلاة الحداد اليهودية؟,What is the Jewish mourning prayer called?,قاديش,Kaddish,☪️ دين,اليهودية,☪️ Religion,Judaism
ما اسم الشريعة الشفوية اليهودية؟,What is the Jewish oral law called?,المشناه,Mishnah,☪️ دين,اليهودية,☪️ Religion,Judaism
على أي جبل تلقى موسى الوصايا العشر؟,On which mountain did Moses receive the Ten Commandments?,جبل سيناء,Mount Sinai,☪️ دين,اليهودية,☪️ Religion,Judaism
ما اسم رأس السنة اليهودية؟,What is the Jewish New Year called?,روش هاشناه,Rosh Hashanah,☪️ دين,اليهودية,☪️ Religion,Judaism
ما اسم يوم الراحة في اليهودية؟,What is the Jewish day of rest called?,السبت (شبات),Sabbath (Shabbat),☪️ دين,اليهودية,☪️ Religion,Judaism
ما اسم شال الصلاة اليهودي؟,What is the Jewish prayer shawl called?,طاليت,Tallit,☪️ دين,اليهودية,☪️ Religion,Judaism
مم تتكون التوراة بشكل أساسي؟,What does the Torah primarily consist of?,الأسفار الخمسة الأولى لموسى,The first five books of Moses,☪️ دين,اليهودية,☪️ Religion,Judaism
ما هو الكتاب المقدس في اليهودية؟,What is the holy book of Judaism?,التوراة,Torah,☪️ دين,اليهودية,☪️ Religion,Judaism
ما أقدس يوم في اليهودية؟,What is the holiest day in Judaism?,يوم كيبور,Yom Kippur,☪️ دين,اليهودية,☪️ Religion,Judaism
كم كان عدد تلاميذ السيد المسيح؟,How many disciples did Jesus have?,12,12,☪️ دين,المسيحية,☪️ Religion,Christianity
كم عدد أسفار الكتاب المقدس البروتستانتي؟,How many books are in the Protestant Bible?,66,66,☪️ دين,المسيحية,☪️ Religion,Christianity
في أي مدينة وُلد السيد المسيح عليه السلام؟,In which city was Jesus born?,بيت لحم,Bethlehem,☪️ دين,المسيحية,☪️ Religion,Christianity
ما هو الكتاب المقدس في المسيحية؟,What is the holy book of Christianity?,الكتاب المقدس,Bible,☪️ دين,المسيحية,☪️ Religion,Christianity
ما العيد المسيحي الذي يحتفل بميلاد السيد المسيح عليه السلام؟,What Christian holiday celebrates the birth of Jesus?,عيد الميلاد,Christmas,☪️ دين,المسيحية,☪️ Religion,Christianity
أي إمبراطور شرّع المسيحية؟,Which emperor legalized Christianity?,قسطنطين الكبير,Constantine the Great,☪️ دين,المسيحية,☪️ Religion,Christianity
ما العيد الذي يحتفل بقيامة المسيح؟,What feast celebrates Jesus' resurrection?,عيد الفصح,Easter,☪️ دين,المسيحية,☪️ Religion,Christianity
ما أول كتاب في الكتاب المقدس؟,What is the first book of the Bible?,سفر التكوين,Genesis,☪️ دين,المسيحية,☪️ Religion,Christianity
من خان السيد المسيح؟,Who betrayed Jesus?,يهوذا الإسخريوطي,Judas Iscariot,☪️ دين,المسيحية,☪️ Religion,Christianity
ما الفترة المسيحية التي تسبق عيد الفصح؟,What Christian season precedes Easter?,الصوم الكبير,Lent,☪️ دين,المسيحية,☪️ Religion,Christianity
من بنى الفلك بحسب الكتاب المقدس؟,Who built the ark according to the Bible?,نوح,Noah,☪️ دين,المسيحية,☪️ Religion,Christianity
أي رسول ارتبط بمدينة روما؟,Which apostle is associated with Rome?,بطرس,Peter,☪️ دين,المسيحية,☪️ Religion,Christianity
ما آخر كتاب في العهد الجديد؟,What is the final book of the New Testament?,سفر الرؤيا,Revelation,☪️ دين,المسيحية,☪️ Religion,Christianity
ما أكبر طائفة مسيحية؟,What is the largest Christian denomination?,الكنيسة الكاثوليكية الرومانية,Roman Catholic Church,☪️ دين,المسيحية,☪️ Religion,Christianity
ما أكبر فرع في المسيحية؟,What is the largest branch of Christianity?,الكاثوليكية الرومانية,Roman Catholicism,☪️ دين,المسيحية,☪️ Religion,Christianity
أي قديس ارتبط بنشر المسيحية في أيرلندا؟,Which saint brought Christianity to Ireland?,القديس باتريك,Saint Patrick,☪️ دين,المسيحية,☪️ Religion,Christianity
ما الاسم الأصلي للرسول بولس؟,What was the Apostle Paul's original name?,شاول,Saul,☪️ دين,المسيحية,☪️ Religion,Christianity
ما أقدس يوم في الأسبوع لدى المسيحيين؟,What is the holiest day of the week for Christians?,الأحد,Sunday,☪️ دين,المسيحية,☪️ Religion,Christianity
ماذا يحتفل به عيد الفصح؟,What does Easter celebrate?,قيامة المسيح,The resurrection of Jesus,☪️ دين,المسيحية,☪️ Religion,Christianity
أي رسول مسيحي عُرف بالشك؟,Which apostle was known as the doubter?,توما,Thomas,☪️ دين,المسيحية,☪️ Religion,Christianity
ما المدينة التي تُعتبر المركز الروحي للكاثوليكية؟,What city is the spiritual center of Catholicism?,مدينة الفاتيكان,Vatican City,☪️ دين,المسيحية,☪️ Religion,Christianity
كم عدد الصلوات المفروضة يومياً في الإسلام؟,How many obligatory daily prayers are there in Islam?,5,5,☪️ دين,الإسلام,☪️ Religion,Islam
أي نبي يُلقب بخليل الله؟,Which prophet is called Friend of God in Islam?,إبراهيم عليه السلام,Abraham (Ibrahim),☪️ دين,الإسلام,☪️ Religion,Islam
أي نبي بنى الكعبة مع إسماعيل؟,Which prophet built the Kaaba with Ishmael?,إبراهيم عليه السلام,Abraham (Ibrahim),☪️ دين,الإسلام,☪️ Religion,Islam
بأي لغة نزل القرآن الكريم؟,In what language was the Quran revealed?,العربية,Arabic,☪️ دين,الإسلام,☪️ Religion,Islam
أي هجرة بدأت التقويم الإسلامي؟,What migration began the Islamic calendar?,الهجرة إلى المدينة المنورة,Hijra to Medina,☪️ دين,الإسلام,☪️ Religion,Islam
ما أكبر مسجد في العالم؟,What is the largest mosque in the world?,المسجد الحرام,Masjid al-Haram,☪️ دين,الإسلام,☪️ Religion,Islam
في أي مدينة تقع الكعبة المشرفة؟,In which city is the Kaaba located?,مكة المكرمة,Mecca,☪️ دين,الإسلام,☪️ Religion,Islam
ما هو الكتاب المقدس في الإسلام؟,What is the holy book of Islam?,القرآن الكريم,Quran,☪️ دين,الإسلام,☪️ Religion,Islam
ما اسم شهر الصيام في الإسلام؟,What is the Islamic month of fasting called?,رمضان,Ramadan,☪️ دين,الإسلام,☪️ Religion,Islam
ما اسم الشهادة في الإسلام؟,What is the Islamic declaration of faith called?,الشهادتان,Shahada,☪️ دين,الإسلام,☪️ Religion,Islam
ما أطول سورة في القرآن الكريم؟,What is the longest chapter in the Quran?,سورة البقرة,Surah Al-Baqarah,☪️ دين,الإسلام,☪️ Religion,Islam
ما أقصر سورة في القرآن الكريم؟,What is the shortest surah in the Quran?,سورة الكوثر,Surah Al-Kawthar,☪️ دين,الإسلام,☪️ Religion,Islam
ما الحدث الذي يمثل بداية التقويم الهجري؟,What event marks the start of the Islamic calendar?,الهجرة النبوية,The Hijra,☪️ دين,الإسلام,☪️ Religion,Islam
ماذا يحيي شهر رمضان؟,What does Ramadan commemorate?,نزول القرآن الكريم,The revelation of the Quran,☪️ دين,الإسلام,☪️ Religion,Islam
أي خليفة أشرف على توحيد المصحف؟,Which caliph standardized the Quran?,عثمان بن عفان,Uthman ibn Affan,☪️ دين,الإسلام,☪️ Religion,Islam
أي ركن من أركان الإسلام يتعلق بالصدقة؟,What pillar of Islam is charitable giving?,الزكاة,Zakat,☪️ دين,الإسلام,☪️ Religion,Islam
ما عاصمة كوريا الجنوبية؟,What is the capital of South Korea?,سيول,Seoul,🌍 جغرافيا,,🌍 Geography,
ما اسم أكبر مدينة في سوريا من حيث عدد السكان؟,What is the largest city in Syria by population?,حلب,Aleppo,🌍 جغرافيا,,🌍 Geography,
أي بحر يفصل السعودية عن أفريقيا؟,Which sea separates Saudi Arabia from Africa?,البحر الأحمر,Red Sea,🌍 جغرافيا,,🌍 Geography,
ما عاصمة الأرجنتين؟,What is the capital of Argentina?,بوينس أيرس,Buenos Aires,🌍 جغرافيا,,🌍 Geography,
ما عاصمة تنزانيا؟,What is the capital of Tanzania?,دودوما,Dodoma,🌍 جغرافيا,,🌍 Geography,
ما عاصمة بلجيكا؟,What is the capital of Belgium?,بروكسل,Brussels,🌍 جغرافيا,,🌍 Geography,
ما عاصمة رومانيا؟,What is the capital of Romania?,بوخارست,Bucharest,🌍 جغرافيا,,🌍 Geography,
ما اسم الحضارة القديمة المرتبطة بمدينة البتراء؟,Which ancient civilization is associated with Petra?,الأنباط,Nabataeans,🌍 جغرافيا,,🌍 Geography,
ما عاصمة إثيوبيا؟,What is the capital of Ethiopia?,أديس أبابا,Addis Ababa,🌍 جغرافيا,,🌍 Geography,
ما عاصمة إسبانيا؟,What is the capital of Spain?,مدريد,Madrid,🌍 جغرافيا,,🌍 Geography,
ما اسم أعلى جبل في سوريا؟,What is the highest mountain in Syria?,جبل الشيخ,Mount Hermon,🌍 جغرافيا,,🌍 Geography,
ما عاصمة الجزائر؟,What is the capital of Algeria?,الجزائر العاصمة,Algiers,🌍 جغرافيا,,🌍 Geography,
أي دولة فيها جبال الهيمالايا؟,Which country contains the Himalayas?,نيبال والهند,Nepal and India,🌍 جغرافيا,,🌍 Geography,
أي مدينة أقدم: دمشق أم أثينا؟,Which city is older: Damascus or Athens?,دمشق,Damascus,🌍 جغرافيا,,🌍 Geography,
سوريا تقع في أي جهة من قارة آسيا؟,In which direction of Asia is Syria located?,غرب آسيا,Western Asia,🌍 جغرافيا,,🌍 Geography,
ما عاصمة اليابان؟,What is the capital of Japan?,طوكيو,Tokyo,🌍 جغرافيا,,🌍 Geography,
ما عاصمة البرتغال؟,What is the capital of Portugal?,لشبونة,Lisbon,🌍 جغرافيا,,🌍 Geography,
ما البحر الذي يفصل بين أوروبا وأفريقيا؟,Which sea separates Europe and Africa?,البحر الأبيض المتوسط,Mediterranean Sea,🌍 جغرافيا,,🌍 Geography,
ما هي أكبر قارة في العالم من حيث المساحة؟,What is the largest continent in the world by area?,آسيا,Asia,🌍 جغرافيا,,🌍 Geography,
أي نهر أطول: النيل أم الأمازون؟,Which river is longer: the Nile or the Amazon?,النيل,Nile River,🌍 جغرافيا,,🌍 Geography,
ما عاصمة كندا؟,What is the capital of Canada?,أوتاوا,Ottawa,🌍 جغرافيا,,🌍 Geography,
أي دولة تمتلك أطول خط ساحلي؟,Which country has the longest coastline?,كندا,Canada,🌍 جغرافيا,,🌍 Geography,
ما عاصمة سوريا؟,What is the capital of Syria?,دمشق,Damascus,🌍 جغرافيا,,🌍 Geography,
ما اسم أكبر دولة في العالم من حيث المساحة؟,What is the largest country in the world by area?,روسيا,Russia,🌍 جغرافيا,,🌍 Geography,
أي مدينة تُلقّب بـ المدينة التي لا تنام؟,"Which city is nicknamed ""The City That Never Sleeps""?",نيويورك,New York City,🌍 جغرافيا,,🌍 Geography,
ما عاصمة الهند؟,What is the capital of India?,نيودلهي,New Delhi,🌍 جغرافيا,,🌍 Geography,
ما عاصمة سلطنة عُمان؟,What is the capital of Oman?,مسقط,Muscat,🌍 جغرافيا,,🌍 Geography,
ما اسم العاصمة القديمة لتركيا؟,What was the former capital of Turkey?,اسطنبول (القسطنطينية),Istanbul (Constantinople),🌍 جغرافيا,,🌍 Geography,
أي بحر بيطلّ عليه الساحل السوري؟,Which sea borders the Syrian coast?,البحر الأبيض المتوسط,Mediterranean Sea,🌍 جغرافيا,,🌍 Geography,
ما أعلى جبل في الأردن؟,What is the highest mountain in Jordan?,جبل أمّ الدامي,Jabal Umm ad Dami,🌍 جغرافيا,,🌍 Geography,
أي مدينة أكبر: القاهرة أم بغداد؟,Which city is larger: Cairo or Baghdad?,القاهرة,Cairo,🌍 جغرافيا,,🌍 Geography,
أي دولة تمتلك أكبر عدد من البحيرات؟,Which country has the largest number of lakes?,كندا,Canada,🌍 جغرافيا,,🌍 Geography,
ما عاصمة السودان؟,What is the capital of Sudan?,الخرطوم,Khartoum,🌍 جغرافيا,,🌍 Geography,
ما عاصمة المغرب؟,What is the capital of Morocco?,الرباط,Rabat,🌍 جغرافيا,,🌍 Geography,
ما اسم أكبر دولة في أمريكا اللاتينية؟,What is the largest country in Latin America?,البرازيل,Brazil,🌍 جغرافيا,,🌍 Geography,
ما عاصمة فلسطين المعترف بها دوليًا؟,What is the internationally recognized capital of Palestine?,القدس الشرقية,East Jerusalem,🌍 جغرافيا,,🌍 Geography,
ما عاصمة إندونيسيا؟,What is the capital of Indonesia?,جاكرتا,Jakarta,🌍 جغرافيا,,🌍 Geography,
أي قارة فيها أطول سلسلة جبلية؟,Which continent contains the longest mountain range?,أمريكا الجنوبية (الأنديز),South America (Andes Mountains),🌍 جغرافيا,,🌍 Geography,
ما اسم أطول نهر في لبنان؟,What is the longest river in Lebanon?,نهر الليطاني,Litani River,🌍 جغرافيا,,🌍 Geography,
ما عاصمة اليمن؟,What is the capital of Yemen?,صنعاء,Sana'a,🌍 جغرافيا,,🌍 Geography,
ما اسم النهر الذي يمر في دمشق؟,What is the name of the river that flows through Damascus?,نهر بردى,Barada River,🌍 جغرافيا,,🌍 Geography,
أي مدينة بنيت على الماء؟,Which city was built on water?,البندقية,Venice,🌍 جغرافيا,,🌍 Geography,
ما عاصمة الكويت؟,What is the capital of Kuwait?,الكويت,Kuwait City,🌍 جغرافيا,,🌍 Geography,
أي جزيرة هي الأكبر في البحر المتوسط؟,Which island is the largest in the Mediterranean Sea?,صقلية,Sicily,🌍 جغرافيا,,🌍 Geography,
أي مدينة لبنانية معروفة ب «عروس الشمال»؟,"Which Lebanese city is known as the ""Bride of the North""?",طرابلس,Tripoli,🌍 جغرافيا,,🌍 Geography,
ما اسم أكبر محيط بعد المحيط الهادئ؟,What is the largest ocean after the Pacific Ocean?,المحيط الأطلسي,Atlantic Ocean,🌍 جغرافيا,,🌍 Geography,
ما عاصمة ساحل العاج؟,What is the capital of Côte d'Ivoire?,أبيدجان,Abidjan,🌍 جغرافيا,,🌍 Geography,
ما عاصمة الدنمارك؟,What is the capital of Denmark?,كوبنهاغن,Copenhagen,🌍 جغرافيا,,🌍 Geography,
أي دولة خليجية أصغر مساحةً؟,Which Gulf country has the smallest land area?,البحرين,Bahrain,🌍 جغرافيا,,🌍 Geography,
أي دولة فيها نهر الأمازون؟,Which country contains the Amazon River?,البرازيل,Brazil,🌍 جغرافيا,,🌍 Geography,
أي مدينة كانت عاصمة الخلافة الأموية؟,Which city was the capital of the Umayyad Caliphate?,دمشق,Damascus,🌍 جغرافيا,,🌍 Geography,
ما عاصمة أستراليا؟,What is the capital of Australia?,كانبيرا,Canberra,🌍 جغرافيا,,🌍 Geography,
ما اسم المدينة الفلسطينية الساحلية التاريخية؟,What is the name of the historic Palestinian coastal city?,يافا,Jaffa,🌍 جغرافيا,,🌍 Geography,
ما أكبر محيط في العالم؟,What is the largest ocean in the world?,المحيط الهادئ,Pacific Ocean,🌍 جغرافيا,,🌍 Geography,
ما عاصمة هولندا؟,What is the capital of the Netherlands?,أمستردام,Amsterdam,🌍 جغرافيا,,🌍 Geography,
ما عاصمة إيران؟,What is the capital of Iran?,طهران,Tehran,🌍 جغرافيا,,🌍 Geography,
ما عاصمة كولومبيا؟,What is the capital of Colombia?,بوغوتا,Bogotá,🌍 جغرافيا,,🌍 Geography,
ما أطول نهر في العالم؟,What is the longest river in the world?,نهر النيل,Nile River,🌍 جغرافيا,,🌍 Geography,
ما هو أعلى جبل في العالم؟,What is the highest mountain in the world?,جبل إيفرست (8848.86 متر),"Mount Everest (8,848.86 m)",🌍 جغرافيا,,🌍 Geography,
ما عاصمة بولندا؟,What is the capital of Poland?,وارسو,Warsaw,🌍 جغرافيا,,🌍 Geography,
ما عاصمة اليونان؟,What is the capital of Greece?,أثينا,Athens,🌍 جغرافيا,,🌍 Geography,
ما عاصمة قطر؟,What is the capital of Qatar?,الدوحة,Doha,🌍 جغرافيا,,🌍 Geography,
ما اسم أعلى جبل في لبنان؟,What is the highest mountain in Lebanon?,القرنة السوداء,Qurnat as Sawda,🌍 جغرافيا,,🌍 Geography,
أي دولة أقدم: اليابان أم الصين؟,Which country is older: Japan or China?,الصين (رسمياً),China (officially),🌍 جغرافيا,,🌍 Geography,
ما عاصمة باكستان؟,What is the capital of Pakistan?,إسلام أباد,Islamabad,🌍 جغرافيا,,🌍 Geography,
ما عاصمة الأردن؟,What is the capital of Jordan?,عمّان,Amman,🌍 جغرافيا,,🌍 Geography,
في أي قارة تقع البرازيل؟,On which continent is Brazil located?,أمريكا الجنوبية,South America,🌍 جغرافيا,,🌍 Geography,
ما عاصمة النمسا؟,What is the capital of Austria?,فيينا,Vienna,🌍 جغرافيا,,🌍 Geography,
ما عاصمة العراق؟,What is the capital of Iraq?,بغداد,Baghdad,🌍 جغرافيا,,🌍 Geography,
ما عاصمة مصر؟,What is the capital of Egypt?,القاهرة,Cairo,🌍 جغرافيا,,🌍 Geography,
أي بحر أكبر: البحر المتوسط أم الأحمر؟,Which sea is larger: the Mediterranean Sea or the Red Sea?,البحر المتوسط,Mediterranean Sea,🌍 جغرافيا,,🌍 Geography,
أي دولة خليجية أقل اعتماداً على النفط؟,Which Gulf country is the least dependent on oil?,الإمارات,United Arab Emirates,🌍 جغرافيا,,🌍 Geography,
ما اسم أكبر دولة في أفريقيا من حيث المساحة؟,What is the largest country in Africa by area?,الجزائر,Algeria,🌍 جغرافيا,,🌍 Geography,
ما عاصمة النرويج؟,What is the capital of Norway?,أوسلو,Oslo,🌍 جغرافيا,,🌍 Geography,
ما اسم المدينة الأردنية القريبة من الحدود السورية؟,What is the name of the Jordanian city near the Syrian border?,الرمثا,Ramtha,🌍 جغرافيا,,🌍 Geography,
ما عاصمة جيبوتي؟,What is the capital of Djibouti?,جيبوتي,Djibouti,🌍 جغرافيا,,🌍 Geography,
ما عاصمة السعودية؟,What is the capital of Saudi Arabia?,الرياض,Riyadh,🌍 جغرافيا,,🌍 Geography,
ما هي أصغر دولة في العالم من حيث المساحة؟,What is the smallest country in the world by area?,الفاتيكان,Vatican City,🌍 جغرافيا,,🌍 Geography,
ما عاصمة لبنان؟,What is the capital of Lebanon?,بيروت,Beirut,🌍 جغرافيا,,🌍 Geography,
ما عاصمة ليبيا؟,What is the capital of Libya?,طرابلس,Tripoli,🌍 جغرافيا,,🌍 Geography,
في أي مدينة يقع المسجد الأقصى؟,In which city is Al-Aqsa Mosque located?,القدس,Jerusalem,🌍 جغرافيا,,🌍 Geography,
ما عاصمة المكسيك؟,What is the capital of Mexico?,مكسيكو سيتي,Mexico City,🌍 جغرافيا,,🌍 Geography,
ما عاصمة تركيا؟,What is the capital of Turkey?,أنقرة,Ankara,🌍 جغرافيا,,🌍 Geography,
ما عاصمة نيوزيلندا؟,What is the capital of New Zealand?,ولينغتون,Wellington,🌍 جغرافيا,,🌍 Geography,
ما عاصمة كينيا؟,What is the capital of Kenya?,نيروبي,Nairobi,🌍 جغرافيا,,🌍 Geography,
ما عاصمة فنلندا؟,What is the capital of Finland?,هلسنكي,Helsinki,🌍 جغرافيا,,🌍 Geography,
أي دولة عاصمتها يرفان؟,Which country has Yerevan as its capital?,أرمينيا,Armenia,🌍 جغرافيا,,🌍 Geography,
ما عاصمة سويسرا؟,What is the capital of Switzerland?,برن,Bern,🌍 جغرافيا,,🌍 Geography,
ما عاصمة تونس؟,What is the capital of Tunisia?,تونس,Tunis,🌍 جغرافيا,,🌍 Geography,
ما عاصمة السويد؟,What is the capital of Sweden?,ستوكهولم,Stockholm,🌍 جغرافيا,,🌍 Geography,
ما عاصمة البحرين؟,What is the capital of Bahrain?,المنامة,Manama,🌍 جغرافيا,,🌍 Geography,
ما اسم أكبر مدينة في العالم من حيث عدد السكان؟,What is the largest city in the world by population?,طوكيو,Tokyo,🌍 جغرافيا,,🌍 Geography,
ما عاصمة دولة الإمارات العربية المتحدة؟,What is the capital of the United Arab Emirates?,أبوظبي,Abu Dhabi,🌍 جغرافيا,,🌍 Geography,
ما عاصمة الصين؟,What is the capital of China?,بكين,Beijing,🌍 جغرافيا,,🌍 Geography,
ما عاصمة غانا؟,What is the capital of Ghana?,أكرا,Accra,🌍 جغرافيا,,🌍 Geography,
أي دولة عربية هي الأكبر مساحةً؟,Which Arab country is the largest by area?,الجزائر,Algeria,🌍 جغرافيا,,🌍 Geography,
أي دولة فيها برج إيفل؟,Which country is home to the Eiffel Tower?,فرنسا,France,🌍 جغرافيا,,🌍 Geography,
ما اسم القناة التي تربط البحر الأبيض المتوسط بالبحر الأحمر؟,What is the name of the canal that connects the Mediterranean Sea to the Red Sea?,قناة السويس,Suez Canal,🌍 جغرافيا,,🌍 Geography,
ما عاصمة نيجيريا؟,What is the capital of Nigeria?,أبوجا,Abuja,🌍 جغرافيا,,🌍 Geography,
أي دولة أكثر سكاناً: الهند أم الصين؟,Which country has a larger population: India or China?,الهند,India,🌍 جغرافيا,,🌍 Geography,
ما عاصمة السنغال؟,What is the capital of Senegal?,داكار,Dakar,🌍 جغرافيا,,🌍 Geography,
كم دولة عضو في مجلس التعاون الخليجي؟,How many member states are there in the Gulf Cooperation Council (GCC)?,6,6,🌍 جغرافيا,,🌍 Geography,
أي معلم تاريخي في الشوف (لبنان) يستضيف مهرجانات صيفية؟,"Which historical landmark in Chouf, Lebanon hosts summer festivals?",قصر بيت الدين,Beiteddine Palace,🌍 جغرافيا,,🌍 Geography,
ما اسم الميناء الرئيسي في الأردن؟,What is the main port of Jordan?,العقبة,Aqaba,🌍 جغرافيا,,🌍 Geography,
ما اسم المضيق الذي يفصل بين أوروبا وأفريقيا؟,What is the name of the strait that separates Europe and Africa?,مضيق جبل طارق,Strait of Gibraltar,🌍 جغرافيا,,🌍 Geography,
بأي سنة انسحب الاحتلال الإسرائيلي من الجنوب اللبناني؟,In what year did the Israeli occupation withdraw from South Lebanon?,2000,2000,🌍 جغرافيا,,🌍 Geography,
ما اسم أشهر معلم أثري في الأردن؟,What is the most famous archaeological landmark in Jordan?,البتراء,Petra,🌍 جغرافيا,,🌍 Geography,
ما اسم أكبر جزيرة في العالم؟,What is the largest island in the world?,غرينلاند,Greenland,🌍 جغرافيا,,🌍 Geography,
ما اسم أكبر صحراء باردة في العالم؟,What is the largest cold desert in the world?,القارة القطبية الجنوبية,Antarctica,🌍 جغرافيا,,🌍 Geography,
ما اسم أطول شارع في بيروت؟,What is the longest street in Beirut?,شارع الحمراء,Hamra Street,🌍 جغرافيا,,🌍 Geography,
ما اسم المعبر الشهير في قطاع غزة؟,What is the name of the famous crossing in the Gaza Strip?,معبر رفح,Rafah Crossing,🌍 جغرافيا,,🌍 Geography,
ما اسم القلعة الأشهر في القاهرة؟,What is the most famous fortress in Cairo?,قلعة صلاح الدين,Saladin Citadel,🌍 جغرافيا,,🌍 Geography,
ما اسم أكبر صحراء في العالم؟,What is the largest desert in the world?,الصحراء الأفريقية الكبرى,Sahara Desert,🌍 جغرافيا,,🌍 Geography,
ما أكثر دول العالم من حيث عدد السكان؟,Which country has the largest population in the world?,الهند,India,🌍 جغرافيا,,🌍 Geography,
ما اسم أعلى شلال في العالم؟,What is the highest waterfall in the world?,شلال أنخيل في فنزويلا Angel Falls,"Angel Falls, Venezuela",🌍 جغرافيا,,🌍 Geography,
ما اسم المطار الدولي الرئيسي في سوريا؟,What is the main international airport in Syria?,مطار دمشق الدولي,Damascus International Airport,🌍 جغرافيا,,🌍 Geography,
ما اللغة الرسمية في البرازيل؟,What is the official language of Brazil?,البرتغالية,Portuguese,🌍 جغرافيا,,🌍 Geography,
ما اسم الصحراء المشهورة في الأردن؟,What is the name of the famous desert in Jordan?,وادي رم,Wadi Rum,🌍 جغرافيا,,🌍 Geography,
العلم الأردني فيه كم لون؟,How many colors are there on the Jordanian flag?,4,4,🌍 جغرافيا,,🌍 Geography,
ما اسم العملة الرسمية في تركيا؟,What is the official currency of Turkey?,الليرة التركية,Turkish Lira,🌍 جغرافيا,,🌍 Geography,
ما اسم خط العرض 0°؟,What is the name of the 0° line of latitude?,خط الاستواء,Equator,🌍 جغرافيا,,🌍 Geography,
بأي سنة تم افتتاح برج خليفة في دبي؟,In what year was the Burj Khalifa in Dubai officially opened?,2010,2010,🌍 جغرافيا,,🌍 Geography,
ما اسم أشهر فندق في دبي؟,What is the most famous hotel in Dubai?,برج العرب,Burj Al Arab,🌍 جغرافيا,,🌍 Geography,
